city,month,rainfall,trigger
ANDAMAN & NICOBAR ISLANDS,1,49.2,0
ANDAMAN & NICOBAR ISLANDS,2,87.1,0
ANDAMAN & NICOBAR ISLANDS,3,29.2,0
ANDAMAN & NICOBAR ISLANDS,4,2.3,0
ANDAMAN & NICOBAR ISLANDS,5,528.8,1
ANDAMAN & NICOBAR ISLANDS,6,517.5,1
ANDAMAN & NICOBAR ISLANDS,7,365.1,1
ANDAMAN & NICOBAR ISLANDS,8,481.1,1
ANDAMAN & NICOBAR ISLANDS,9,332.6,1
ANDAMAN & NICOBAR ISLANDS,10,388.5,1
ANDAMAN & NICOBAR ISLANDS,11,558.2,1
ANDAMAN & NICOBAR ISLANDS,12,33.6,0
ANDAMAN & NICOBAR ISLANDS,1,0.0,0
ANDAMAN & NICOBAR ISLANDS,2,159.8,0
ANDAMAN & NICOBAR ISLANDS,3,12.2,0
ANDAMAN & NICOBAR ISLANDS,4,0.0,0
ANDAMAN & NICOBAR ISLANDS,5,446.1,1
ANDAMAN & NICOBAR ISLANDS,6,537.1,1
ANDAMAN & NICOBAR ISLANDS,7,228.9,1
ANDAMAN & NICOBAR ISLANDS,8,753.7,1
ANDAMAN & NICOBAR ISLANDS,9,666.2,1
ANDAMAN & NICOBAR ISLANDS,10,197.2,0
ANDAMAN & NICOBAR ISLANDS,11,359.0,1
ANDAMAN & NICOBAR ISLANDS,12,160.5,0
ANDAMAN & NICOBAR ISLANDS,1,12.7,0
ANDAMAN & NICOBAR ISLANDS,2,144.0,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,1.0,0
ANDAMAN & NICOBAR ISLANDS,5,235.1,1
ANDAMAN & NICOBAR ISLANDS,6,479.9,1
ANDAMAN & NICOBAR ISLANDS,7,728.4,1
ANDAMAN & NICOBAR ISLANDS,8,326.7,1
ANDAMAN & NICOBAR ISLANDS,9,339.0,1
ANDAMAN & NICOBAR ISLANDS,10,181.2,0
ANDAMAN & NICOBAR ISLANDS,11,284.4,1
ANDAMAN & NICOBAR ISLANDS,12,225.0,1
ANDAMAN & NICOBAR ISLANDS,1,9.4,0
ANDAMAN & NICOBAR ISLANDS,2,14.7,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,202.4,1
ANDAMAN & NICOBAR ISLANDS,5,304.5,1
ANDAMAN & NICOBAR ISLANDS,6,495.1,1
ANDAMAN & NICOBAR ISLANDS,7,502.0,1
ANDAMAN & NICOBAR ISLANDS,8,160.1,0
ANDAMAN & NICOBAR ISLANDS,9,820.4,1
ANDAMAN & NICOBAR ISLANDS,10,222.2,1
ANDAMAN & NICOBAR ISLANDS,11,308.7,1
ANDAMAN & NICOBAR ISLANDS,12,40.1,0
ANDAMAN & NICOBAR ISLANDS,1,1.3,0
ANDAMAN & NICOBAR ISLANDS,2,0.0,0
ANDAMAN & NICOBAR ISLANDS,3,3.3,0
ANDAMAN & NICOBAR ISLANDS,4,26.9,0
ANDAMAN & NICOBAR ISLANDS,5,279.5,1
ANDAMAN & NICOBAR ISLANDS,6,628.7,1
ANDAMAN & NICOBAR ISLANDS,7,368.7,1
ANDAMAN & NICOBAR ISLANDS,8,330.5,1
ANDAMAN & NICOBAR ISLANDS,9,297.0,1
ANDAMAN & NICOBAR ISLANDS,10,260.7,1
ANDAMAN & NICOBAR ISLANDS,11,25.4,0
ANDAMAN & NICOBAR ISLANDS,12,344.7,1
ANDAMAN & NICOBAR ISLANDS,1,36.6,0
ANDAMAN & NICOBAR ISLANDS,2,0.0,0
ANDAMAN & NICOBAR ISLANDS,3,0.0,0
ANDAMAN & NICOBAR ISLANDS,4,0.0,0
ANDAMAN & NICOBAR ISLANDS,5,556.1,1
ANDAMAN & NICOBAR ISLANDS,6,733.3,1
ANDAMAN & NICOBAR ISLANDS,7,247.7,1
ANDAMAN & NICOBAR ISLANDS,8,320.5,1
ANDAMAN & NICOBAR ISLANDS,9,164.3,0
ANDAMAN & NICOBAR ISLANDS,10,267.8,1
ANDAMAN & NICOBAR ISLANDS,11,128.9,0
ANDAMAN & NICOBAR ISLANDS,12,79.2,0
ANDAMAN & NICOBAR ISLANDS,1,110.7,0
ANDAMAN & NICOBAR ISLANDS,2,0.0,0
ANDAMAN & NICOBAR ISLANDS,3,113.3,0
ANDAMAN & NICOBAR ISLANDS,4,21.6,0
ANDAMAN & NICOBAR ISLANDS,5,616.3,1
